15,1.94687
16,2.4637
17,2.41627
18,2.26624
19,2.15226
20,2.52812
21,2.38328
22,2.31153
23,2.2242
24,2.5669
25,2.47422
26,2.42012
27,2.29491
28,2.57659
29,2.49828
30,2.41807
31,2.27257
32,2.55717
33,2.51503
34,2.44955
35,2.4118
36,2.47737
37,2.44681
38,2.47458
39,2.36599
40,2.55166
41,2.469
42,2.48155
43,2.41738
44,2.55829
45,2.47226
46,2.50917
47,2.34092
48,2.5015
49,2.44357
50,2.44201
51,2.27513
52,2.41923
53,2.37175
54,2.36083
55,2.2885
56,2.43016
57,2.33654
58,2.41226
59,2.27754
60,2.35245
61,2.30332
62,2.31531
63,2.30231
64,2.36432
65,2.3181
66,2.29041
67,2.2828
68,2.28475
69,2.33508
70,2.24823
71,2.24705
72,2.32556
73,2.30405
74,2.29162
75,2.1648
76,2.23308
77,2.2661
78,2.19898
79,2.18266
80,2.23918
81,2.27232
82,2.22385
83,2.11506
84,2.15523
85,2.19761
86,2.17542
87,2.1583
88,2.28226
89,2.21811
90,2.17947
91,2.2939
92,2.24598
93,2.25893
94,2.09619
95,2.2189
96,2.25004
97,2.21823
98,2.1584
99,2.1778
100,2.20483
101,2.18457
102,2.18193
103,2.18505
104,2.13196
105,2.16716
106,2.12487
107,2.18201
108,2.14375
109,2.16542
110,2.14141
111,2.03309
112,2.10711
113,2.11592
114,2.06398
115,2.06961
116,2.08845
117,2.12838
118,2.06319
119,2.10605
120,2.17999
